"PlotNumber","FieldNumber","ProjectID","FSRegionDistrict","Date","SiteSurveyor","PlotRepresenting","Location","Ecosection","NtsMapSheet",Longitude,Latitude,"UTMZone","UTMEasting","UTMNorthing","LocationAccuracy","AirPhotoNum","XCoord","YCoord","Zone","SubZone","SiteSeries","SiteModifier1","SiteModifier2","TransDistrib","RealmClass","MapUnit","SnowCoverregime","MoistureRegime","NutrientRegime","SuccessionalStatus","StructuralStage","StructuralStageMod","StandAge","Elevation","SlopeGradient","Aspect","MesoSlopePosition","SurfaceShape","SurfaceTopographyType","SurfaceTopographySize","WaterSource","Photo","Exposure1","Exposure2","SiteDisturbance1","SiteDisturbance2","SiteDisturbance3","SubstrateDecWood","SubstrateBedRock","SubstrateRocks","SubstrateMineralSoil","SubstrateOrganicMatter","SubstrateWater","SiteNotes","SoilSurveyor","BedrockGeology1","BedrockGeology2","BedrockGeology3","CoarseFragLith1","CoarseFragLith2","CoarseFragLith3","TerrainTextureSurf","SurficialMaterialSurf","SurfaceExpSurf","GeoMorProSurf","TerrainTextureSubSurf","SurficialMaterialSubSurf","SurfaceExpSubSurf","GeoMorProSubSurf","FloodingRegimeFreq","MoistureRegimeSub","FloodingRegimeDur","SoilDrainage","SeepageDepth","RootRestrictingType","RootRestrictingDepth","RootZoneParticleSize","RootingDepth","SoilClassSubGroup","SoilClassGroup","HumusForm","HumusFormPhase","pHMethodCodeMineral","pHMethodCodeOrganic","SoilNotes","VegSurveyor","StrataCoverTree","StrataCoverShrub","StrataCoverHerb","StrataCoverMoss","VegNotes","HydroGeoSystem","HydroGeoSubSystem","SpeciesListComplete","Temporary","Flag","SV_PolygonNumber","SV_FloodPlain","SV_StandAgeEstMeas","SV_StandHeight","SV_StandHeightEstMeas","SV_CanopyComposition","SV_SoilDepth","SV_RootZoneTexture","SV_PercentCoarseFrags","SV_GleyingMottlingCM","SV_WaterTableCM","SV_FullCruiseCard","SV_AhorizonType","SV_AhorizonDepth","ActiveLayerDepth"
"1976080",,"BEC",,,,"Sw - Currant - Horsetail",,,,,,,,,,,,,"BWBS","mw2","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00,77.10,97.30,68.30,,,,0,,0,,0,,,,,,,,,,,"No",,
"202050",,"BEC","RCO.DNI",,,"Zonal","Windy bay",,"93D",128,52,,,,,,,,"MH","whp1","02",,,,,,,"4","C",,,,,570,3.00,,"CR",,,,,,,,,,,,,,,,,,,,,,,,,,"R",,,,,,,,,,"r",,"L",10,,10,,"FO","UR",,,,,,29.00,28.00,23.50,8.00,"snow-70% cover",,,0,,0,,0,,,,,,,,,,,"No",,
"406250",,"BEC",,6/16/1981 0:00:00,,"Sw - Currant - Horsetail","lower Pitman R, just below confluence wtih Tucha R","CAR","104I",128,58,,,,,,,,"BWBS","dk1","Wm03",,,,,,,"4","E","MCC",,,,950,0.00,,"TO",,,,,,,,,,,,,,,,,,"Fred",,,,,,,,"F","a",,,,,,,,,,,,,"S",,"CU","R","HR",,,,,,75.00,30.00,45.00,95.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"412150",,"BEC",,,,"Sw - Currant - Horsetail",,,,,,,,,,,,,"BWBS","dk2","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,11.00,12.00,98.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"412250",,"BEC",,,,,,,,,,,,,,,,,"BWBS","dk2","Wb",,,,,"bog",,,,,"forest",,,,,,,,,,,,,,,,,,,,,,,"CANNOT LOCATE CARD THEREFORE NO ENVIR OR SOIL DATA AVAIL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.00,66.50,99.00,99.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"412350",,"BEC",,6/17/1983 0:00:00,,"Sw - Currant - Horsetail","W side Liard River, ca 15 km N of Alaska Hwy","LIP","105-A",,,,,,,,,,"BWBS","dk2","06",,,,,,,"5","D","MEC",,,,680,0.00,999,"LV",,,,,,,,,,,3.00,,,,97.00,,"excellent growth of Sw",,,,,,,,,"F","l","E",,,,,,,,"w",,,,"fS",35,"O","SB","RL",,,,"frost lense at ca. 45-55 cm adn then broke thru",,45.00,39.20,70.20,92.20,,,,0,,0,,0,,,,,,,,,,,"No",,
"412450",,"BEC",,6/18/1983 0:00:00,,"Sw - Currant - Horsetail","W side Hyland R, ca 2 km N of Alaska Hwy",,"104",,,,,,,,,,"BWBS","dk2","08",,,,,,,"5","D","MEC",,,,610,0.00,999,"LV",,,,,,,,,,,2.00,,,,98.00,,,,,,,,,,,"F","l","E",,,,,,,,"I",,,,"fS",25,"GL","SB","HR",,,,"tooting essentially stops at bottom of Bh",,50.00,33.10,76.70,88.30,,,,0,,0,,0,,,,,,,,,,,"No",,
"5760454",,"BEC",,7/13/1976 0:00:00,,"MATURING STAND OF PICE-ENG ON SLOPE","MI 22.2 FLATBED-BABCOCK-MURRAY R RD",,"93I15 ",120,55,"10",635394.0,6.096624e+06,,,,,"BWBS","wk1","06",,,,,,,"4","C",,,,,42,24.00,266,"MD",,,,,,"NA",,,,,,,,,,,,,,,,,,,"$C","M","B",,,,,,"X",,,,,,,,,,,,,,,,,73.00,23.00,75.00,5.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"5760463",,"BEC",,7/15/1976 0:00:00,,"TA-ES SERAL SUCCESSION TO ES ON","MI 36.7 STONY LAKE-BEAVERLODGE RD",,"93I16 ",120,54,"10",666718.0,6.086543e+06,,,,,"BWBS","wk1","06",,,,,,,"5","D",,,,,73,5.20,164,"LV",,,,,,"NA",,,,,2.00,0.00,0.00,0.00,98.00,0.00,,,,,,,,,"F","F","T",,,,,,"X",,,,,,,,,,,,,,,,,86.00,18.00,99.00,5.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"5760808",,"BEC",,7/14/1976 0:00:00,,"MATURE BS,S ON LACUSTRINE DEPOSIT WITH NE ASPECT","MI 16.7 ON RD CROSSING FLATBED AND BABCOCK CKS,OF THUNDE MT RD.",,"93I15 ",120,54,"10",642024.0,6.089406e+06,,,,,"BWBS","wk1","06",,,,,,,"5","C",,,,,1134,7.00,34,"LW",,,,,,"NA",,,,,15.00,0.00,0.00,0.00,80.00,5.00,,,,,,,,,"C","L","B",,,,,,"X",,,,,,,,,,,,,,,,,46.00,29.00,80.00,38.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"579279",,"BEC",,7/24/1979 0:00:00,,"alpine heath with Krummhotz on H, ridgetop","west ridge of TV Mtn N of Sewell","SKP","103C/6",133.04167175293,60,,,,,,,,"MH","mm1","01",,,,,,,"4","B","MC",,,,825,8.00,,"CR",,"SMO",,,,"WI",,,,,0.00,2.00,5.00,0.00,93.00,0.00,,,,,,,,,,"O","v",,,"R","h",,,,,"m",,"L",35,,35,"TY","FO","UR",,,,,,0.00,101.00,9.00,26.00," RUBUPED mostly underneath the hemlock; CASSSTE underneath the mountain hemlock; BLECSPI underneath hemlock; CALANUT both in the heath and under hemlock; FAURCRI AND STREROS under hemlock; COPTASP under hemlock mainly also very small under heath; SENENEW mainly in the heath;",,,0,,0,,0,,,,,,,,,,,"No",,
"8229723",,"BEC",,6/22/1985 0:00:00,"Rogers, Meister","Picea glauca - Abies lasiocarpa - Alnus viridis ssp. sinuata - Salix sp. - mosses on organic","Manson Ck. - about 1km up Manson R Road from Manson Ck - N side",,"93N10",128.34619140625,54.5883331298828,,,,,,,,"BWBS","dk1","01",,,,,,,"6","D","MEC",,,,1030,3.00,250,"TO",,"HMK","md",,,"NA",,,,,7.00,0.00,0.00,0.00,92.00,1.00,,"Ronald Paul Meister",,,,,,,"h","O","v",,"f","F","b",,"X",,,"i",-60,,,"FL",70,"T","H","SD",,,,"Cumic Fluvial organic soil","Rogers",29.00,8.00,65.00,90.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"8428935",,"BEC",,8/10/1984 0:00:00,"DeLong, Blashill","Picea engelmannii x glauca - Populus balsamifera - Ribes triste - Ribes lacustre - Equisetum arvense - Mitella nuda - Ptilium crista-castrensis - Hylocomium splendens - Mnium sp.","200 m along transect, N of Needham Cr",,"94B6E",123,56,,,,,,,,"BWBS","wk2","06",,,,,,,"6","D","MEC",,,122,1030,5.00,140,"DP",,"MND","sl",,,"NA",,,,,15.00,0.00,0.00,0.00,85.00,0.00,,"Me, Myself and I","ag","ak","an","ba","bs","bx","p","F","b","C","e","O","f","I","R",,"E","m",22,"K",15,"L",45,"CU","R","O RD","cl",,,"What can I say.",,28.00,20.00,90.00,35.00,,"L","bs",0,,0,"4567",0,"2",18.00,"1","Pl50, AT50",30.00,"cls",55.00,18.00,32.00,"No","No",45.00,22.00
"8428942",,"BEC",,8/8/1984 0:00:00,"Jang, Hope","Picea sp. - Equisetum sp.","Heli plot Southwest Graham River, 100m South of S/L 5",,"94B07",122,56,,,,,,,,"BWBS","wk2","06",,,,,,,"6","C","YEC",,,,1220,3.00,125,"TO",,,"md",,,"NA",,,,,10.00,0.00,0.00,0.00,90.00,0.00,,,"X",,,"MI",,,"G$","F","b",,,,,,"R",,,"P",,,,"S",22,"O","G","RHUR",,,,,,22.00,25.00,60.00,95.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"8428963",,"BEC","RCO.DCR",8/11/1984 0:00:00,"Bank, MacKinnon","Picea glauca - Equisetum sp.","Helecopter plot on creek off Justice Creek","BAU","94B11",123,56,,,,,,,,"BWBS","wk2","06",,,,,,,"5","D","MEC",,,,1097,24.00,125,"LW",,,"sl",,,"NA",,,,,5.00,0.00,0.00,0.00,95.00,0.00,"Strange plot",,"X",,,"MI",,,"f","C","v",,"gf","M","b",,"R",,,"I",,,,"FL",40,"O","DYB","AHUR",,,,"The colour of Bm is too bright to be pedogenic but was likely caused by fire and possibly subsequent deposition of eroded soil.",,20.00,15.00,85.00,99.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"8428970",,"BEC",,8/8/1984 0:00:00,"Yearsley, Bank","Picea engelmannii - Abies lasiocarpa - Ribes sp. - Equisetum sp. - Polytrichum sp. - Pleurozium schreberi","NE of Emerslund Lakes about 7km",,"94B06",123,56,,,,,,,,"BWBS","wk2","06",,,,,,,"4","D","YEC",,,102,980,13.00,318,"LW",,,"st",,,"NA",,,,,,,,,,,,,"X",,,"MI",,,"g$","F","f",,,,,,"X",,,"m",,,,"CLS",70,"BR","GL","O HR",,,,"Bm2 contains considerable amounts of organic debris.  A cumulic profile which is no longer active.",,51.00,20.00,65.00,80.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"8428975",,"BEC",,8/10/1984 0:00:00,"Yearsley, Bank","Picea engelmannii x glauca - (Abies lasiocarpa) - Ribes sp. - Equisetum sp. - Pleurozium schreberi - (Barbilophozia sp.)","South of Needham Creek just East of first tributary",,"94B05",123,56,,,,,,,,"BWBS","wk2","06",,,,,,,"5","B","YEC",,,,1110,0.00,999,"TO",,"MND","md",,,"NA",,,,,3.00,0.00,0.00,0.00,97.00,0.00,,,"X",,,"MI",,,"fs","F","v",,"g","F","b",,"F",,,"I",,,,"CL",40,"O","R","O HR",,,,"Roots are much more abundant in the buried F horizon than in the overlying or underlying mineral soil.  Fb has recognized plants but crumbles easily between fingers - almost H.  Rare white mold in Fq, no mycelium.  First two C horizons contain large amounts of decaying organic debris.  Carbonates on some Cf but these have likely been washed in as seen rather than precipitated here.",,35.00,35.00,60.00,90.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"8529415",,"BEC",,6/17/1985 0:00:00,"Wood, Broznitsky","Picea glauca - Lonicera involucrata - Equisetum arvense - Rubus pedatus - Mnium sp.","4.7km from Tumbler Hwy, 5km from Sukunka FS Road, below 85-29414 hydro RW",,"93P",121,55,,,,,,,,"BWBS","wk1","06",,,,,,,"5","D","MEC",,,,950,10.00,137,"LW",,"MND","st",,,"NA",,,,,30.00,0.00,0.00,0.00,70.00,0.00,,,"DM",,,"DF",,,"cr","C","b",,,,,,"R",,,"P",39,,,"C",30,"R","G","O YR",,,,"Good spruce site.",,20.00,36.00,50.00,50.00,"There is more equiarv than equipra, no brachyt.  Abielas edge of plot in A1",,,0,,0,,0,,,,,,,,,,,"No",,
"8529649",,"BEC",,7/12/1985 0:00:00,"Frank, Chee","Picea glauca - Betula papyrifera - Viburnum edule - Rosa acicularis - Lonicera involucrata - Equisetum sylvaticum - Mitella nuda - Linnaea borealis - Hylocomium splendens - Marchantia polymorpha","1.6km East on 157th Rd. (plot to east).  Road is East of Alaska Hwy.",,"94A11",121,56,,,,,,,,"BWBS","wk2","06",,,,,,,"5","D","MCC",,,,960,0.00,999,"LV",,"MND","mc",,,"WI",,,,,8.00,0.00,0.00,0.00,92.00,0.00,,,"D",,,"D",,,"f","FG","v","W","c","LG",,,"X",,,"I",,,,"FL",20,"HU","LG","A TD",,,,,,23.00,68.00,70.00,60.00,"Some rubupub doubly serrate.  Squirrel middens.  Betupap tree bent from tall A3 to lower A3.  All pine dead in plot.",,,0,,0,,0,,,,,,,,,,,"No",,
"8529670",,"BEC",,7/30/1985 0:00:00,"Frank, Chee","Picea glauca - Salix sp. - Betula nana - Shepherdia canadensis - Leymus innovatus - Platanthera obtusata - Equisetum sp. - Tomentypnum nitens - Aulacomnium palustre - Hylocomium splendens - Peltigera aphthosa","12.0km West on 147 Rd which leaves Hwy 97 at Maes Kitchen",,"94G2",122,57,,,,,,,,"BWBS","wk2","06",,,,,,,"6","D",,,,,1090,12.00,164,"UP",,"MND","mc",,,"NA",,,,,5.00,0.00,0.00,0.00,95.00,0.00,,,"DM",,,"DM",,,"c","M","b",,,,,,"X",,,"I",,,,"FC",2,"R","HG","O YD",,,,"Clay layer near surface.  Perched water table.  Plot is on a slope receiving water from upslope.",,25.00,68.00,60.00,90.00,"Many animal trails - an isolated stand - many willows aspen pine around it - squirrel miden",,,0,,0,,0,,,,,,,,,,,"No",,
"8529675",,"BEC",,8/2/1985 0:00:00,"Frank, Chee","Picea engelmannii x glauca - Salix sp. - Rubus pubescens - Aconitum delphiniifolium - Equisetum sp. - Linnaea borealis - Platanthera obtusata - Hylocomium splendens - Aulacomnium palustre","On North side of 147 Rd (W. Of Hwy 97) approx 9.0km West of Ross Ranch",,"94G3",123,57,,,,,,,,"BWBS","wk2","06",,,,,,,"6","C","MCC",,,100,1160,22.00,145,"MD",,"MND","st",,,"NA",,"Sc",,,10.00,0.00,0.00,0.00,90.00,0.00,,,"DM",,,"DF",,,"$e","C","b","A",,,,,"O",,,"m",30,,,"LS",30,"O","HR","O RD",,,,"May also be gleyed, but mottles were not seen due to rapid seepage into the soil pit",,16.00,26.00,40.00,95.00,"Moose and horse shit in plot.  Trails through plot.  Water flowing within 20m of plot.",,,0,,0,,0,"1",,,,,,,,,,"No",,
"8529676",,"BEC",,8/2/1985 0:00:00,"Frank, Chee","Picea engelmannii x glauca - Populus balsamifera - Alnus incana - Equisetum arvense - Linnaea borealis - Mertensia paniculata - Epilobium angustifolium - Leymus innovatus - Platanthera obtusata - Orthilia secunda - Pyrola chlorantha","On South side of 147 Rd (West off Hwy 97) approx 9.0km West of Ross Ranch",,"94G3",123,57,,,,,,,,"BWBS","wk2","06",,,,,,,"6","D","MCC",,,,1030,0.00,999,"LV",,"SMO","sm",,,"NA",,,,,7.00,0.00,0.00,2.00,91.00,0.00,,,,,,,,,"fs","LG","t","W",,,,,"F",,,"I",,,,"CSI",46,"GLCU","R","O RD",,,,"Frozen pocket at 43-60cm.  Soil should be quite moist throughout the year due to low slope position (runoff from mountain) and proximity to river.",,54.00,7.00,75.00,90.00,"Horse trails, droppings in plot.  Deer in plot.  Many burls.",,,0,,0,,0,,,,,,,,,,,"No",,
"8630146",,"BEC",,6/21/1986 0:00:00,"Wood, McIver","Picea glauca - Salix bebbiana - Cornus canadensis - Calamagrostis sp. - Pleurozium schreberi","25.4km North on Beaton River Road from Beaton Fording",,"94H 6",121,57,,,,,,,,"BWBS","mw2","05",,,,,,,"5","D","MCC",,,,830,0.00,999,"LV",,,"sm",,,"NA",,,,,5.00,0.00,0.00,0.00,95.00,0.00,,,,,,,,,"$","LG","b",,,,,,"O",,,"I",,,,"CL",39,"GL","DYB","O HR",,,,"This soil is very young.  A floodplain is probably what this site has developed on ( a large creek has meandered around site).  Bottom of H layer is frozen.",,35.00,25.00,45.00,99.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"9003002",,"BEC",,9/5/1996 0:00:00,"clement","Older floodplain site - about 20yrs with good conifer regen","OSPIKA - floodplain in large slump - south of Frank Cr.","PEF","94B 5",123,56,"10",440350.0,6.25315e+06,,"BC86102150",11.30,18.60,"SBS","mk2","01",,,,"Fh","floodplain",,"5","E","YS","3b",,,698,0.00,999,"LV",,"SMO",,"F",,"FR",,,,,3.00,0.00,0.00,50.00,47.00,0.00,,,,,,,,,,"FA","p",,,,,,,,,"m",-150,,,,70,"CU","R",,,,,,,3.00,45.00,25.00,1.00,,"F","a",0,,0,,0,,,,,,,,,,,"No",,
"9003043",,"BEC",,9/9/1996 0:00:00,"clement","subhygric mature forested floodplain","OSPIKA - lower Balden Cr. floodplain","PEF","94B13",123,56,"10",443400.0,6.27385e+06,,"BC82018249",8.80,15.00,"SBS","mk2","01",,,,"Fh",,,"5","E","MEC",,,,945,0.00,999,"LV",,"SMO",,"F",,"FR",,,,,5.00,0.00,0.00,50.00,45.00,0.00,,,,,,,,,"s","FA","p",,,,,,,,,"m",-130,,,,50,"CU","R",,,,,,,15.00,20.00,27.00,11.00,,"F","a",0,,0,,0,,,,,,,,,,,"No",,
"9003104",,"BEC",,9/14/1996 0:00:00,"clement","Moist creek bottom - horesetail site","OSPIKA- Collins Cr. floodplain just W. of Collins Cr. bridge","PAT","94C 8",124,56,"10",415550.0,6.25795e+06,,"BC84042138",1.40,11.80,"SBS","mk2","01",,,,"Fh","floodplain",,"6","C","MEC",,,,700,0.00,999,"DP",,"SMO",,"F",,"CA",,,,,5.00,0.00,0.00,0.00,95.00,0.00,,,,,,,,,,"FA","v",,,"FG","p",,,,,"i",-120,,,,40,"GLCU","R","YD",,,,,,18.00,70.00,100.00,55.00,,"F","a",0,,0,,0,,,,,,,,,,,"No",,
"961167",,"BEC",,6/27/1996 0:00:00,"wm/hw/cf","White spruce-cottonwood-twinberry-horsetail","Sutherland River","BAU","93K6",125,54,,,,,,,,"SBS","dk","01",,,,"Fh",,,"6","D","MEC","7",,,720,2.00,,"LV",,"MND",,"F",,,,"Wi",,,5.00,0.00,0.00,2.00,93.00,0.00,"Levyed Sutherland River - steep fine sand bank to river slopes back to wetland.  Stream is depositing fine sands and SiC lays when slower.  Occational flooding.",,,,,,,,,"FA",,,,,,,"O",,,"i",,,,,,"GL","SB","RD",,,,"Recent capping on older profile indicated occasional flooding - mostly annual flooding into the rooting zone.","WM,CF, (HW)",25.00,20.00,20.00,2.00,,"F","a",0,,0,,0,,,,,,,,,,,"No",,
"9611965",,"BEC",,9/4/1996 0:00:00,"S. Hauessler","Cathedral fluvial birch","Telkwa River, S. Bank, downstream of Goathorn creekl","BUB","93L",,,,,,,"30bcc93054#54",,,"SBS","dk","Fh (0",,,,"Fh","c9",,"5","D+","MS","6",,,560,0.00,999,"LV",,,,,,"FR",,,,,3.00,0.00,0.00,1.00,96.00,0.00,,,,,,,,,,,,,,,,,,,,"i",,,,"s",50,"O","DYB","TD",,,,"channels are wet","SH",60.00,60.00,50.00,1.00,,,,0,,0,,0,,,,,,,,,,,"No",,
"9611967",,"BEC",,4/9/1996 0:00:00,"SHaeusller","Fluvial Sxw - horsetail","Telkwa River, S. Bank downstream of Goathorn","BUB","93L.06",,,,,,,"30bcc93054#54",,,"SBS","dk","Fh (0",,,,"Fh","c8",,"6+","C","MEC","6",,,555,0.00,999,"LW",,,,,,"FR",,"Aw",,,2.00,0.00,0.00,0.00,98.00,,"Hummocky topography; open stand maintained by blowdown - longtime since last major flood",,,,,,,,,,,,,,,,,,,"p",0,"w",,"S",30,"O","G","YD",,,,"definite methane smell in soil- lots of wood, upper layers tending to organic soil on low ground.  Seepage water observed between 0-50 cm.","sh",25.00,40.00,70.00,50.00,,,,0,,0,,0,,,,,,,25.00,,,,"No",,
