"PlotNumber","MyLayer","Species","Cover"
"8229723","B","ABIELAS",0.10
"8229723","B","RIBETRI",1.00
"8229723","B","VIBUEDU",0.10
"8229723","B","ALNUALN2",2.00
"8229723","B","ROSAACI",0.10
"8428935","B","RIBELAC",3.00
"8428935","B","PINUCON",5.00
"8428935","B","ABIELAS",15.00
"8428935","B","VIBUEDU",1.00
"8428935","B","ROSAACI",2.00
"8428935","B","PICEENE",6.00
"8428935","B","RIBETRI",10.00
"8428935","B","SALIX",0.50
"8428942","B","RIBELAC",2.00
"8428942","B","ABIELAS",11.00
"8428942","B","BETUNAN",1.00
"8428942","B","VACCMEM",1.00
"8428942","B","PICEENE",1.00
"8428942","B","SALIBAC",8.00
"8428942","B","RIBETRI",5.00
"8428942","B","RIBES",1.00
"8428963","B","RIBELAC",1.00
"8428963","B","SALIMYR",4.00
"8428963","B","RIBETRI",1.00
"8428963","B","PICEGLA",5.00
"8428963","B","JUNICOM",1.00
"8428963","B","SHEPCAN",2.00
"8428963","B","ROSAACI",3.00
"8428963","B","ABIELAS",0.50
"8428970","B","SALIARB",1.00
"8428970","B","RIBETRI",5.00
"8428970","B","PINUCON",5.00
"8428970","B","VIBUEDU",3.00
"8428970","B","ABIELAS",10.00
"8428970","B","SHEPCAN",1.00
"8428970","B","SALIBAC",1.00
"8428970","B","ROSAACI",3.00
"8428970","B","RUBUIDA",0.50
"8428970","B","RIBELAC",2.00
"8428970","B","PICEENG",1.00
"8428975","B","PICEENE",15.00
"8428975","B","RIBETRI",5.00
"8428975","B","SALIARB",0.50
"8428975","B","SHEPCAN",0.50
"8428975","B","SALIGLA",0.50
"8428975","B","RIBELAC",0.50
"8428975","B","ABIELAS",10.00
"8529415","B","ALNUINC",27.00
"8529415","B","RIBEHUD",0.50
"8529415","B","LONIINV",1.00
"8529415","B","VIBUEDU",0.50
"8529415","B","ROSAACI",2.00
"8529415","B","RHODGRO",3.00
"8529415","B","SALIPYR",2.00
"8529415","B","PICEGLA",4.00
"8529415","B","RIBETRI",0.50
"8529415","B","ALNUALN2",3.00
"8529649","B","PICEGLA",4.20
"8529649","B","POPUTRE",1.00
"8529649","B","BETUPAP",2.00
"8529649","B","SORBSCO",1.00
"8529649","B","ALNUALN2",14.00
"8529649","B","RIBETRI",4.00
"8529649","B","VIBUEDU",25.00
"8529649","B","RUBUIDA",4.00
"8529649","B","ROSAACI",8.00
"8529649","B","LONIINV",12.00
"8529649","B","RIBELAC",2.00
"8529670","B","RIBELAC",1.00
"8529670","B","SALIGLA",10.00
"8529670","B","SHEPCAN",7.00
"8529670","B","RHODGRO",2.00
"8529670","B","VIBUEDU",1.00
"8529670","B","ABIELAS",0.10
"8529670","B","PICEMAR",1.00
"8529670","B","BETUNAN",5.00
"8529670","B","SALIMYR",21.00
"8529670","B","SALIPET",6.00
"8529670","B","ROSAACI",2.00
"8529670","B","PICEGLA",1.10
"8529670","B","SALIX",12.00
"8529670","B","RIBETRI",1.00
"8529675","B","SHEPCAN",1.00
"8529675","B","RIBEOXY",1.00
"8529675","B","SALIMYR",23.00
"8529675","B","RIBETRI",0.50
"8529675","B","PICEENE",2.10
"8529675","B","RIBEBRA",1.00
"8529676","B","ALNUINC",2.00
"8529676","B","ROSAACI",2.00
"8529676","B","PICEENE",1.10
"8529676","B","SHEPCAN",0.50
"8529676","B","RIBEOXY",1.00
"8529676","B","RIBETRI",2.00
"8630146","B","ROSAACI",1.00
"8630146","B","PICEMAR",2.00
"8630146","B","SALIBEB",10.00
"8630146","B","PICEGLA",12.00
"8630146","B","BETUNAN",0.10
"9003002","B","SHEPCAN",0.50
"9003002","B","CORNSER",4.00
"9003002","B","PICEENE",28.00
"9003002","B","SALIX",3.00
"9003002","B","POPUBAL",4.00
"9003002","B","ALNUINC",13.00
"9003002","B","ROSAACI",5.00
"9003043","B","ROSAACI",2.00
"9003043","B","RIBEHUD",1.00
"9003043","B","RUBUIDA",1.00
"9003043","B","SHEPCAN",0.50
"9003043","B","SALIX",2.00
"9003043","B","VIBUEDU",0.50
"9003043","B","ABIELAS",5.00
"9003043","B","RIBELAC",1.00
"9003043","B","ALNUINC",8.00
"9003104","B","SALIX",1.00
"9003104","B","SORBSCO",0.50
"9003104","B","BETUOCC",1.00
"9003104","B","ROSAACI",1.00
"9003104","B","RIBELAX",1.00
"9003104","B","RIBEGLA",0.50
"9003104","B","ABIELAS",0.50
"9003104","B","VIBUEDU",5.00
"9003104","B","RIBEHUD",1.00
"9003104","B","ALNUINC",25.00
"9003104","B","OPLOHOR",0.50
"9003104","B","CORNSER",13.00
"9003104","B","PICEENE",3.00
"9003104","B","LONIINV",20.00
"9003104","B","RIBELAC",2.00
"961167","B","SALIBEB",4.00
"961167","B","PICEGLA",3.00
"961167","B","ROSAACI",3.00
"961167","B","RIBEOXY",1.00
"961167","B","SALIDIS",1.00
"961167","B","CORNSER",2.00
"961167","B","ALNUALN2",4.00
"961167","B","VIBUEDU",1.00
"961167","B","LONIINV",20.00
"961167","B","RIBEHUD",0.10
"9611965","B","RUBUIDA",1.00
"9611965","B","CORNSER",1.00
"9611965","B","ROSAACI",1.00
"9611965","B","LONIINV",15.00
"9611965","B","ALNUINC",45.00
"9611965","B","VIBUEDU",2.00
"9611965","B","PICEGLA",1.00
"9611965","B","OPLOHOR",5.00
"9611967","B","CORNSER",0.20
"9611967","B","RIBEHUD",0.10
"9611967","B","RUBUPAR",0.10
"9611967","B","ROSAACI",3.00
"9611967","B","LONIINV",10.00
"9611967","B","OPLOHOR",3.00
"9611967","B","AMELALN",0.10
"9611967","B","PICEGLA",1.10
"9611967","B","VIBUEDU",1.00
"9611967","B","ALNUINC",20.00
"9611967","B","SALISCO",1.00
"9611967","B","SORBSCO",0.10
"9624781","B","CORNSER",12.00
"9624781","B","POPUTRI",0.10
"9624781","B","ROSAACI",2.00
"9624781","B","SALIPRO",25.00
"9624781","B","PICEENE",6.00
"9624781","B","POPUTRE",0.10
"9624781","B","RIBEHUD",5.00
"9624781","B","ALNUINC",8.00
"9624781","B","LONIINV",18.00
"9624804","B","RUBUIDA",2.00
"9624804","B","ROSAACI",5.00
"9624804","B","AMELALN",1.00
"9624804","B","SPIRDOU",7.00
"9624804","B","LONIINV",10.00
"9624804","B","ALNUINC",18.00
"9624804","B","OPLOHOR",1.00
"9624804","B","PICEENE",9.00
"9624804","B","VIBUEDU",5.00
"9624804","B","RIBELAC",2.00
"9624804","B","CORNSER",1.00
"HLB056","B","TSUGHET",2.70
"HLB056","B","XANTNOO",30.00
"HLB056","B","GAULSHA",0.50
"HLB056","B","VACCOVL",4.00
"HLB056","B","PINUCON",0.50
"HLB056","B","CLADONI",0.50
"HLB056","B","TSUGMER",8.00
"L153","B","ROSAACI",5.00
"L153","B","PICEGLA",1.00
"L153","B","CORNSER",1.00
"L153","B","LONICER",1.00
"L153","B","ALNUINC",2.00
"L153","B","VIBUEDU",1.00
"L185","B","ROSAACI",5.00
"L185","B","VIBUEDU",10.00
"L185","B","ABIELAS",6.00
"L185","B","CORNSER",5.00
"L185","B","ALNUINC",10.00
"L185","B","BETUPAP",1.00
"MAHA05","B","TSUGHET",0.20
"MAHA05","B","VACCALA",4.00
"MAHA05","B","TSUGMER",8.00
"MAHA05","B","VACCDEL",8.00
"MAHA05","B","VACCOVL",4.00
"MAHA05","B","XANTNOO",12.00
"MAHA05","B","ABIEAMA",1.40
"QCIL6","B","VACCALA",0.10
"QCIQ10","B","VACCALA",1.00
"QCIQ10","B","VACCOVL",1.00
"QCIQ10","B","MENZFER",0.50
"QCIQ10","B","VACCPAR",2.00
"QCIQ14","B","VACCOVL",1.00
"QCIQ14","B","VACCALA",1.00
"QCIQ14","B","VACCPAR",2.00
"R0126","B","RIBETRI",1.00
"R0126","B","RUBUIDA",0.10
"R0126","B","SHEPCAN",5.00
"R0126","B","ROSAACI",1.00
"R0126","B","SALIBEB",2.00
"R0126","B","SALIPSE",0.10
"R0126","B","VIBUEDU",2.00
"R0126","B","RHODGRO",8.00
"R0126","B","RIBELAC",2.00
"R3027","B","PICEGLA",7.00
"R3027","B","RIBELAC",3.00
"R3027","B","SALIX",2.00
"R3027","B","RIBETRI",1.00
"R3027","B","ROSAACI",0.10
"R3027","B","ALNUINC",8.00
"R3027","B","VIBUEDU",5.00
"R3039","B","RIBETRI",0.10
"R3039","B","VIBUEDU",3.00
"R3039","B","ROSAACI",15.00
"R3039","B","ALNUINC",10.00
"R3039","B","PICEGLA",5.00
"R3039","B","RIBELAC",4.00
"108050","C","RUBUPED",5.00
"108050","C","LYSIAME",10.00
"108050","C","COPTASP",2.00
"108050","C","NEOTCOR",2.00
"108050","C","CASSMER",10.00
"108050","C","LUETPEC",10.00
"108050","C","NEPHCRI",10.00
"108050","C","CARECOC",15.00
"108050","C","LIGUSTI",10.00
"108050","C","HARRSTE",5.00
"108050","C","CORNCAN",5.00
"108050","C","VERAVIR",50.00
"108050","C","STRUSPI",20.00
"108050","C","CALTLEP",10.00
"108050","C","CHAMANG",1.00
"108050","C","PHYLEMP",20.00
"108050","C","CALAPUR",15.00
"108050","C","ERIOANG",99.00
"108050x","C","VERAVIR",50.00
"108050x","C","LYSIAME",10.00
"108050x","C","STRUSPI",20.00
"108050x","C","NEPHCRI",10.00
"108050x","C","ERIOANG",99.00
"108050x","C","PHYLEMP",20.00
"108050x","C","CALTLEP",10.00
"108050x","C","HARRSTE",5.00
"108050x","C","CHAMANG",1.00
"108050x","C","CORNCAN",5.00
"108050x","C","NEOTCOR",2.00
"108050x","C","RUBUPED",5.00
"108050x","C","LUETPEC",10.00
"108050x","C","LIGUSTI",10.00
"108050x","C","COPTASP",2.00
"108050x","C","CALAPUR",15.00
"108050x","C","CASSMER",10.00
"1976021","C","ACONDEL",2.00
"1976021","C","CHAMANG",2.00
"1976021","C","MITENUD",8.00
"1976021","C","EQUIARV",2.00
"1976021","C","EQUISCI",2.00
"1976021","C","PLATOBT",0.20
"1976021","C","LINNBOR",42.00
"1976021","C","CALACAN",2.00
"1976021","C","VACCVIT",0.20
"1976021","C","RUBUPUB",8.00
"1976021","C","PYROCHL",4.00
"1976021","C","MERTPAN",0.50
"1976021","C","ORTHSEC",4.00
"1976021","C","EQUIPRA",2.00
"1976021","C","PYROASA",8.00
"1976021","C","GOODREP",0.50
"1976021","C","CORNCAN",18.00
"1976022","C","LINNBOR",8.00
"1976022","C","EQUIPRA",4.00
"1976022","C","MITENUD",4.00
"1976022","C","MERTPAN",8.00
"1976022","C","PYROASA",0.20
"1976022","C","CORNCAN",18.00
"1976022","C","PYROCHL",0.20
"1976022","C","CALACAN",2.00
"1976022","C","EQUISCI",2.00
"1976022","C","VACCVIT",8.00
"1976022","C","GOODREP",4.00
"1976022","C","ORTHSEC",4.00
"1976022","C","RUBUPUB",4.00
"1976025","C","CORNCAN",8.00
"1976025","C","VIOLREN",2.00
"1976025","C","RUBUPUB",8.00
"1976025","C","POLEACU",0.20
"1976025","C","MITENUD",18.00
"1976025","C","LINNBOR",8.00
"1976025","C","EQUISCI",4.00
"1976025","C","EQUIPRA",29.00
"1976025","C","GOODREP",2.00
"1976025","C","LYCOANN",0.20
"1976025","C","CALACAN",0.50
"1976025","C","MERTPAN",8.00
"1976025","C","PETAFRI3",0.50
"1976025","C","ACONDEL",0.50
"1976025","C","CHAMANG",0.50
"1976025","C","VACCVIT",0.50
"1976025","C","ORTHSEC",0.50
"1976025","C","PYROASA",0.20
"1976025","C","DELPGLA",0.50
"1976039","C","EQUISCI",0.20
"1976039","C","PYROCHL",0.20
"1976039","C","GOODREP",0.20
"1976039","C","GALIBOR",0.20
"1976039","C","FRAGVIR",0.50
"1976039","C","PYROASA",18.00
"1976039","C","MITENUD",8.00
"1976039","C","CALACAN",0.50
"1976039","C","VICIAME",0.20
"1976039","C","ACTARUB",0.20
"1976039","C","ORTHSEC",0.20
"1976039","C","VIOLREN",8.00
"1976039","C","MAIATRI",0.20
"1976039","C","RUBUPUB",18.00
"1976039","C","GALITRF",0.20
"1976039","C","CARECOI",0.20
"1976039","C","MERTPAN",4.00
"1976039","C","LINNBOR",29.00
"1976039","C","MAIACAN",2.00
"1976039","C","CORNCAN",18.00
"1976071","C","CIRCALP",18.00
"1976071","C","GALITRF",4.00
"1976071","C","PYROASA",0.20
"1976071","C","RUBUPUB",8.00
"1976071","C","EQUIPRA",63.00
"1976071","C","CORNCAN",4.00
"1976071","C","GYMNDRY",0.20
"1976071","C","CAREDEW",0.20
"1976071","C","EQUIARV",0.20
"1976071","C","CALACAN",0.20
"1976071","C","MONEUNI",0.20
"1976071","C","ACTARUB",0.50
"1976071","C","CINNLAT",4.00
"1976071","C","MATTSTR",0.50
"1976071","C","MITENUD",8.00
"1976071","C","GOODREP",0.20
"1976071","C","ARALNUD",2.00
"1976071","C","THALSPA",0.20
"1976071","C","VIOLREN",4.00
"1976072","C","EQUIPRA",8.00
"1976072","C","GOODREP",0.20
"1976072","C","GYMNDRY",0.50
"1976072","C","MATTSTR",63.00
"1976072","C","CAREDIS",2.00
"1976072","C","FRAGVIR",0.20
"1976072","C","EQUISCI",0.50
"1976072","C","GEUMMAC",0.20
"1976072","C","VIOLREN",2.00
"1976072","C","GALITRF",0.20
"1976072","C","MITENUD",0.20
"1976072","C","THALSPA",0.50
"1976072","C","CORNCAN",0.50
"1976072","C","CIRCALP",0.50
"1976072","C","CINNLAT",0.50
"1976072","C","CAREDEW",4.00
"1976072","C","RUBUARC",4.00
"1976075","C","RUBUPUB",8.00
"1976075","C","FRAGVIR",0.20
"1976075","C","THALSPA",0.20
"1976075","C","MERTPAN",0.50
"1976075","C","EQUIPRA",63.00
"1976075","C","CAREDEW",0.20
"1976075","C","LINNBOR",2.00
"1976075","C","DELPGLA",0.20
"1976075","C","ARALNUD",2.00
"1976075","C","PYROASA",0.20
"1976075","C","MATTSTR",0.50
"1976075","C","CINNLAT",8.00
"1976075","C","CORNCAN",0.50
"1976075","C","CIRCALP",8.00
"1976075","C","MITENUD",4.00
"1976075","C","GOODREP",0.20
"1976075","C","GALITRF",2.00
"1976080","C","PYROASA",0.50
"1976080","C","CIRCALP",2.00
"1976080","C","MERTPAN",0.50
"1976080","C","GOODREP",0.20
"1976080","C","VIOLREN",2.00
"1976080","C","RUBUPUB",8.00
"1976080","C","EQUISCI",0.50
"1976080","C","CORNCAN",8.00
"1976080","C","GALITRF",2.00
"1976080","C","EQUIPRA",63.00
"1976080","C","LINNBOR",2.00
"1976080","C","MITENUD",8.00
"202050","C","CASSMER",10.00
"202050","C","HARRSTE",10.00
"202050","C","LYCOPOE",0.50
"202050","C","LUETPEC",3.00
"406250","C","LINNBOR",7.00
"406250","C","ORTHSEC",1.00
"406250","C","VACCVIT",1.00
"406250","C","MITENUD",1.00
"406250","C","EQUIPRA",30.00
"406250","C","CORNCAN",1.00
"406250","C","ANEMRIC",0.50
"406250","C","EQUISCI",0.50
"406250","C","GOODREP",0.50
"406250","C","PLATOBT",0.50
"406250","C","CALACAN",6.00
"412150","C","ORTHSEC",0.50
"412150","C","MITENUD",1.00
"412150","C","GALITRF",0.50
"412150","C","CALACAN",3.00
"412150","C","PYROCHL",0.50
"412150","C","CORNCAN",1.00
"412150","C","MONEUNI",0.50
"412150","C","FRAGVIR",0.50
"412150","C","EQUIARV",4.00
"412150","C","ACHIMIL",0.50
"412250","C","CORNCAN",12.00
"412250","C","VACCOXY",1.00
"412250","C","MITENUD",1.00
"412250","C","MONEUNI",0.50
"412250","C","VACCVIT",3.00
"412250","C","EMPENIG",3.00
"412250","C","RUBUPUB",2.00
"412250","C","KALMMIC",2.00
"412250","C","GAULHUM",0.50
"412250","C","ORTHSEC",1.00
"412250","C","EQUIPRA",40.00
"412250","C","CALACAN",15.00
"412250","C","CHAMANG",0.50
"412250","C","LINNBOR",2.00
"412250","C","CAREAQU",30.00
"412250","C","EQUISCI",7.00
"412350","C","MERTPAN",1.00
"412350","C","ORTHSEC",5.00
"412350","C","MITENUD",3.00
"412350","C","GOODREP",0.10
"412350","C","CARECOI",2.00
"412350","C","GEOCLIV",8.00
"412350","C","PYROGRA",1.00
"412350","C","ASTRAME",5.00
"412350","C","EQUIPRA",30.00
"412350","C","RUBUPUB",1.00
"412350","C","CAREDIS",1.00
"412350","C","PYROMIN",0.10
"412350","C","LINNBOR",8.00
"412350","C","CORNCAN",5.00
"412450","C","EQUIPRA",40.00
"412450","C","CORNCAN",6.00
"412450","C","FRAGVIR",0.10
"412450","C","MERTPAN",1.00
"412450","C","MITENUD",0.10
"412450","C","EQUIARV",5.00
"412450","C","PYROMIN",1.00
"412450","C","CANAMOD",0.10
"412450","C","GEOCLIV",5.00
"412450","C","ARTETIL",0.10
"412450","C","RUBUPUB",1.00
"412450","C","ORTHSEC",2.00
"412450","C","LEYMINN",0.10
"412450","C","ASTRAME",3.00
"412450","C","LINNBOR",12.00
"412450","C","PLATOBT",0.10
"412450","C","PETAFRI3",0.10
"5760454","C","DRYOEXP",1.00
"5760454","C","HERAMAX",1.00
"5760454","C","LINNBOR",10.00
"5760454","C","ASTER",1.00
"5760454","C","GALITRF",1.00
"5760454","C","RUBUPUB",5.00
"5760454","C","CORNCAN",20.00
"5760454","C","ORTHSEC",1.00
"5760454","C","MITENUD",1.00
"5760454","C","FRAGVIR",2.00
"5760454","C","OSMOBER",1.00
"5760454","C","MONEUNI",1.00
"5760454","C","EQUIARV",25.00
"5760454","C","PETAFRI",1.00
"5760454","C","ACTARUB",1.00
"5760454","C","DELPGLA",1.00
"5760454","C","MERTPAN",2.00
"5760463","C","THALOCC",5.00
"5760463","C","RUBUPUB",5.00
"5760463","C","HERAMAX",8.00
"5760463","C","CHAMANG",5.00
"5760463","C","FRAGVIR",1.00
"5760463","C","MONEUNI",1.00
"5760463","C","ACTARUB",1.00
"5760463","C","MITENUD",1.00
"5760463","C","MAIASTE",3.00
"5760463","C","VIOLCAN",5.00
