"Flag","Code","Climate","Est_ASMR","Est_SNR","GSM","Codetype","Native","Mult_life","P_Organism","Poison_Humans","Poison_Livestock","Poison_Wildlife","P_Descriptor","P_Mode","P_Toxin","P_Toxicity","P_Season","P_Parts","P_Comments","GBearSpring","GBearSummer","GBearFall","Cow_Forage","WeedStatus","Wetland_Ind","RedBlueList","SRank","ID"
0,"ACAROSO","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5990
0,"ACAROSP","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5989
0,"ACARSCH","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5987
0,"ACARSIN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5988
0,"ACAULON","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,846
0,"ACAUMUT1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,8075
0,"ACER","0","0","0","0","U","N",,,,,,,,,,,,,,,,"P",,,,,106
0,"ACERACE","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,107
0,"ACERCIR","4","4","3","2","U","N",,,,,,,,,,,,,,,,,,,,,781
0,"ACERGLA","0","0","3","2","U","N",,,,,,,,,,,,,,,,,,"4",,,1366
0,"ACERGLA1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1367
0,"ACERMAC","4","4","3","2","U","N",,,,,,,,,,,,,,,,,,"4",,,782
0,"ACERNEG","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,783
0,"ACERPLA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,784
0,"ACERPSE","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,785
0,"ACHIALI","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,7669
0,"ACHIFIL","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,8180
0,"ACHILLE","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,2358
0,"ACHIMIL","0","2","2","0","U","N",,"H,L","H","L",,"D","C,I","A,G","PX","U",,,,,,"P",,"4",,,2353
0,"ACHIMIL1","0","0","0","0","U","N",,"H,L","H","L",,"D","C,I","A,G","PX","U",,,,,,,,,,,2354
0,"ACHIMIL2","0","0","0","0","U","N",,"H,L","H","L",,"D","C,I","A,G","PX","U",,,,,,,,,,,2355
0,"ACHIMIL3","0","2","2","3","U","N",,"H,L","H","L",,"D","C,I","A,G","PX","U",,,,,,,,,,,2356
0,"ACHIMIL6","0","0","0","0","U","N",,"H,L","H","L",,"D","C,I","A,G","PX","U",,,,,,,,,,,2357
0,"ACHIPTA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,7702
0,"ACHLTRI","4","0","3","2","U","N",,,,,,,,,,,,,,,,,,,,,2360
0,"ACHLYS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,2359
0,"ACHNATH","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7622
0,"ACHNHYM","0","0","0","0","U","N",,,,,,,,,,,,,,,,"G",,,,,7615
0,"ACHNLEM","0","1","2","3","U","N",,,,,,,,,,,,,,,,,,,,,7623
0,"ACHNLEM1","0","1","2","3","U","N",,,,,,,,,,,,,,,,,,,,,7624
0,"ACHNNEL","0","0","0","0","U","N",,,,,,,,,,,,,,,,"G",,,,,7626
0,"ACHNNEL1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7625
0,"ACHNOCC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7628
0,"ACHNOCC1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7627
0,"ACHNRIC","3","0","2","0","U","N",,,,,,,,,,,,,,,,"G",,,,,7629
0,"ACHNTHU","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,687
0,"ACINARV","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1190
0,"ACINOS","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1191
0,"ACMIAME","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7745
0,"ACMIAME1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7744
0,"ACMIDEN","0","2","2","3","U","N",,,,,,,,,,,,,,,,,,,,,7738
0,"ACMIMIC","4","2","2","3","U","N",,,,,,,,,,,,,,,,,,,,,7741
0,"ACMISPO","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7737
0,"ACONCOL","0","0","0","0","U","N",,"H,L","H","L",,"P,C,H,S","I","A","P3","SUM","SE,RO","A-aconitine,aconine, P3-few poisoning cases",,,,"P",,,,,2361
0,"ACONCOL2","0","0","0","0","U","N",,"H,L","H","L",,"P,C,H,S","I","A","P3","SUM","SE,RO","A-aconitine,aconine, P3-few poisoning cases",,,,,,,,,8124
0,"ACONDEL","1","3","3","0","U","N",,"H,L","H","L",,"P","I","O","PX","U",,,,,,,,"4",,,2362
0,"ACONITU","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,353
0,"ACORACE","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,593
0,"ACORAME","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"1",,,354
0,"ACORUS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,355
0,"ACROBOB","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5088
0,"ACROBOL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5090
0,"ACROCIL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5089
0,"ACROCOR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5992
0,"ACROGEM","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5991
0,"ACROPTI","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,7458
0,"ACROREP","0","0","0","0","U","E",,"L",,"L",,"H","I","O","P2","SUM,AUT","LE,FR,ST","P2-Chewing disease in horses, O-unknown toxin",,,,,"R",,,,356
0,"ACROSCY","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5993
0,"ACROSPH","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5994
0,"ACTAEA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,358
0,"ACTAELA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1322
0,"ACTAELA1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,8181
0,"ACTARUB","2","4","3","2","U","N",,,,,,,,,,,,,"1","1","0",,,,,,357
0,"ADELANT","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5091
0,"ADENBIC","5","3","3","2","U","N",,,,,,,,,,,,,,,,,,,,,359
0,"ADENOCA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,360
0,"ADIAALE","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1370
0,"ADIAALE1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,8228
0,"ADIAALE2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,8229
0,"ADIACAP","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1371
0,"ADIANTU","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1372
0,"ADOXA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,362
0,"ADOXACE","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,363
0,"ADOXMOS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"3",,,361
0,"AEGICYL","0","0","0","0","U","E",,,,,,,,,,,,,,,,,"P",,,,1627
0,"AEGOPOA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,364
0,"AEGOPOD","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,365
0,"AGASFOE","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,366
0,"AGASTAC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,367
0,"AGASURT","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,368
0,"AGONIMI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5995
0,"AGONTRI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5996
0,"AGOSAUR","0","3","2","3","U","N",,,,,,,,,,,,,,,,,,,,,369
0,"AGOSAUR2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,370
0,"AGOSERI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,377
0,"AGOSGLA","0","2","2","3","U","N",,,,,,,,,,,,,,,,"F",,,,,371
0,"AGOSGLA1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,372
0,"AGOSGLA2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,688
0,"AGOSGRA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,373
0,"AGOSHET","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,374
0,"AGOSHET1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,375
0,"AGOSLAC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,376
0,"AGREHIS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5997
0,"AGRESTI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5998
0,"AGRIGRY","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,378
0,"AGRIMON","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,379
0,"AGRISTR","3","3","3","2","U","N",,,,,,,,,,,,,,,,,,,,,380
0,"PODAAEQ","4","5","2","0","U","N",,,,,,,,,,,,,,,,,,"3",,,1604
0,"AGROCAP","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1605
0,"AGROCRI","0","0","0","0","U","E",,,,,,,,,,,,,,,,"G",,,,,1600
0,"AGROCRI1","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,7630
0,"AGRODES","0","0","0","0","U","E",,,,,,,,,,,,,,,,"G",,,,,1601
0,"AGROEXA","0","5","0","5","U","N",,,,,,,,,,,,,,,,,,"4",,,1606
0,"AGROFRA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1602
0,"AGROGIG","0","0","0","0","U","E",,,,,,,,,,,,,,,,"G",,,,,1607
0,"PODAHUM","1","5","1","0","U","N",,,,,,,,,,,,,,,,,,,,,1608
0,"AGROIDA","0","5","0","5","U","N",,,,,,,,,,,,,,,,,,"4",,,1628
0,"AGROMER","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1629
0,"AGROMIC","4","5","2","3","U","N",,,,,,,,,,,,,,,,,,,,,1630
0,"AGROORE","5","6","1","5","U","N",,,,,,,,,,,,,,,,,,"4",,,1631
0,"AGROPAL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1632
0,"AGROPYR","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1603
0,"AGROSCA","0","0","0","0","U","N",,,,,,,,,,,,,,,,"G",,"3",,,1633
0,"AGROSTI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1634
0,"AGROSTO","0","0","0","0","U","E",,,,,,,,,,,,,,,,"G",,,,,1635
0,"AGROVAR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1636
0,"AGYRIAC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5999
0,"AHTIANA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6000
0,"AHTISPH","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6001
0,"AILAALT","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,690
0,"AIRA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1640
0,"AIRACAR","4","1","0","4","U","E",,,,,,,,,,,,,,,,,,,,,1637
0,"AIRAPRA","4","1","1","4","U","E",,,,,,,,,,,,,,,,,,,,,1638
0,"AJUGA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,382
0,"AJUGREP","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,381
0,"ALCEROS","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,691
0,"ALCHEMI","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,383
0,"ALCHMON","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,7671
0,"ALCHSUB","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,384
0,"ALECIMS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6002
0,"GOWANIG","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6003
0,"ALECOCH","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6004
0,"ALECSAR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"4",,,6005
0,"ALECSAR1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6006
0,"ALECSAR2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6007
0,"ALECTOI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6010
0,"ALECTOR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6008
0,"ALECVAN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6009
0,"ALISGRA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"2",,,385
0,"ALISLAN","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,594
0,"ALISMA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,387
0,"ALISMAT","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,388
0,"ALISPLA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,"2",,,386
0,"ALISTRI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"2",,,595
0,"ALLAALM","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6011
0,"ALLAALP","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6012
0,"ALLANTO","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6013
0,"ALLIACU","5","2","2","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,391
0,"ALLIAMP","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,392
0,"ALLIARI","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,390
0,"ALLICER","0","0","2","0","U","N",,,,,,,,,"OS",,,,"1","1","1","F",,,,,393
0,"ALLICER1","0","0","2","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,1337
0,"ALLICRE","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,394
0,"ALLIGEY","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,395
0,"ALLIGEY2","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,396
0,"ALLIPET","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,389
0,"ALLISCH","0","0","0","0","U","N",,"L",,"L",,"H","I","O","P3","SPR","LE",,,,,,,,,,397
0,"ALLISCH1","0","0","0","0","U","N",,"L",,"L",,"H","I","O","P3","SPR","LE",,,,,,,,,,398
0,"ALLIUM","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,399
0,"ALLIVIN","0","0","0","0","U","E",,,,,,,,,"OS",,,,,,,,,,,,2363
0,"ALLIVIN2","0","0","0","0","U","E",,,,,,,,,"OS",,,,,,,,,,,,606
0,"ALLOTRO","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3820
0,"ALLOVIR","5","2","1","1","U","N",,,,,,,,,,,,,,,,,,,,,3821
0,"ALNUINC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"3",,,7494
0,"ALNUINC2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,786
0,"ALNURUB","4","0","3","0","U","N",,,,,,,,,,,,,,,,,,"4",,,787
0,"ALNUS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"4",,,788
0,"ALNUVIR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7496
0,"ALNUVIR2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1220
0,"ALNUVIR5","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,7495
0,"ALOIBIF","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3854
0,"ALOIBRE","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3855
0,"ALOINA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3857
0,"ALOIRIG","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3856
0,"ALOPAEQ","0","0","0","0","U","N",,,,,,,,,,,,,,,,"G",,"3",,,1641
0,"ALOPARU","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,692
0,"ALOPCAR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"4",,,1642
0,"ALOPECU","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1645
0,"ALOPGEN","0","5","3","2","U","E",,,,,,,,,,,,,,,,,,"3",,,1643
0,"ALOPMAG","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,8182
0,"ALOPPRA","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1644
0,"ALSIA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3859
0,"ALSICAL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3858
0,"ALYSALY","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,2364
0,"ALYSDES","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,2365
0,"ALYSMUR","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,2366
0,"ALYSSUM","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,2367
0,"AMANCON","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6014
0,"AMANDIN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6015
0,"AMARALB","0","0","0","0","U","E",,,,,,,,,"OS",,,,,,,,,,,,2369
0,"AMARANH","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,2368
0,"AMARANT","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,2373
0,"AMARBLI","0","0","0","0","U","E",,"L",,"L",,"C,Pi","I","N","P1","U","LE",,,,,,,,,,2370
0,"AMARPOW","0","0","0","0","U","E",,"L",,"L",,"C","I","N","P1","U","LE,ST",,,,,,,,,,2371
0,"AMARPOW1","0","0","0","0","U","E",,,,,,,,,"OS",,,,,,,,,,,,693
0,"AMARPOW2","0","0","0","0","U","E",,"L",,"L",,"C","I","N","P1","U","LE,ST",,,,,,,,,,64
0,"AMARRET","0","0","0","0","U","E",,"L",,"L",,"C","I","N","P1","U","LE,ST",,,,,,"I",,,,2372
0,"AMBLDEA","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3860
0,"AMBLSER","0","4","0","0","U","N",,,,,,,,,,,,,,,,,,"2",,,4164
0,"AMBLSER1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"2",,,4165
0,"AMBLSER2","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"2",,,425
0,"AMBLVAR","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4167
0,"AMBLYOD","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3861
0,"AMBLYSE","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,3862
0,"AMBLYST","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4166
0,"AMBRART","0","0","0","0","U","E",,"H","H",,,"A",,"O","P2","SPR,SUM","FL","O-other or unknown, Mode-hayfever",,,,,,,,,2374
0,"AMBRCHA","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,2375
0,"AMBROSI","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,32
0,"AMBRPSI","0","0","0","0","U","E",,"H","H",,,"A",,"O","P2","SPR,SUM","FL","O-other or unknown, Mode-hayfever",,,,,,,,,31
0,"AMELALN","0","3","2","0","U","N",,"l,W",,"L","W","C,O","I","O","P1","SPR","FL,LE,SE,TW,SH","O-mule deer, O-prunasin","0","1","1","F",,,,,1221
0,"AMELALN1","0","0","0","0","U","N",,"l,W",,"L","W","C,O","I","O","P1","SPR","FL,LE,SE,TW,SH","O-mule deer, O-prunasin",,,,,,,,,1222
0,"AMELALN4","0","0","0","0","U","N",,"l,W",,"L","W","C,O","I","O","P1","SPR","FL,LE,SE,TW,SH","O-mule deer, O-prunasin",,,,,,,,,1223
0,"AMELANC","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,1224
0,"AMELCUS","0","0","0","0","U","N",,"l,W",,"L","W","C,O","I","O","P1","SPR","FL,LE,SE,TW,SH","O-mule deer, O-prunasin",,,,"F",,,,,8006
0,"AMERORC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,34
0,"AMERROT","3","6","3","0","U","N",,,,,,,,,,,,,,,,,,"3",,,33
0,"AMMANNI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,36
0,"AMMAROB","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"3",,,35
0,"AMMOARE","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1646
0,"AMMOBRE","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,7917
0,"AMMOPHI","0","0","0","0","U","E",,,,,,,,,,,,,,,,,,,,,1647
0,"AMPHCAL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4168
0,"AMPHIDI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4171
0,"AMPHISC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,597
0,"AMPHLAP","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4169
0,"AMPHMOU","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4170
0,"AMPHNEV","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,"3",,,596
0,"AMSIINT","0","0","0","0","U","N",,"L",,"L",,"C,H,Pi","I","O","P2","U","SE","O-intermedine,lycopsamine, echiumine",,,,,,,,,37
0,"AMSILYC","0","0","0","0","U","N",,"L",,"L",,,"I","O","PX","U",,,,,,,,,,,38
0,"AMSINCK","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,39
0,"AMSISPE","0","0","0","0","U","N",,,,,,,,,"OS",,,,,,,,,,,,40
0,"AMYGCON","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6016
0,"AMYGCOT","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6017
0,"AMYGDAL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6021
0,"AMYGHAI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6018
0,"AMYGPAN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6019
0,"AMYGPEL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6020
0,"AMYGSUB","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6022
0,"ANACARD","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,1225
0,"ANACMEN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4172
0,"ANACOLI","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,4173
0,"ANAGALL","0","0","0","0","U","E",,,,,,,,,"OS",,,,,,,,,,,,43
0,"ANAGARV","0","0","0","0","U","E",,"H,L","H","L",,"D,C,H,S","C","G,O","PX","U","AL","G-cyclamine,O- triterpenoid saponin,acrid volatile oil, primin",,,,,,,,,41
0,"ANAGARV1","0","0","0","0","U","E",,"H,L","H","L",,"D,C,H,S","C","G,O","PX","U","AL","G-cyclamine,O- triterpenoid saponin,acrid volatile oil, primin",,,,,,,,,8120
0,"ANAGMIN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,"3",,,42
0,"ANAPHAL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,974
0,"ANAPMAR","0","0","2","3","U","N",,,,,,,,,,,,,,,,"P",,,,,973
0,"ANAPSET","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6023
0,"ANAPTYC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6024
0,"ANAPULO","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,6025
0,"ANASASS","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5094
0,"ANASDON","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5095
0,"ANASHEL","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5096
0,"ANASMIC","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5097
0,"ANASMIN","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5098
0,"ANASMIN1","0","0","0","0","U","N",,,,,,,,,,,,,,,,,,,,,5099
