"Plot","StartDate","PlotType","PlotSize","ProvinceStateTerritory","SitePlotQuality","VegPlotQuality","SoilPlotQuality","UpdatedFromCards","EnteredBy","UserSiteUnit","BECSiteUnit","SiteUnitShortName","SiteUnitLongName","OfficeNotes","HumusThickness","GIS_BGC","GIS_BGC_VER","BEC_Use","StrataCoverTotal"
"R0126",1965,,,,,"Good","Excellent",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,25.00,,,,
"R3027",1965,,,,,"Good",,0,,"BWBSdk 1 /08",,"BWBSdk 1 /08","Sw - Currant - Horsetail",,18.00,,,,
"R3039",1965,,,,,"Good",,0,,"BWBSdk 1 /08",,"BWBSdk 1 /08","Sw - Currant - Horsetail",,17.00,,,,
"8428935",1965,,,,,"Good","Good",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,12.00,,,"3",
"8428942",1965,,,,,"Good","Good",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,20.00,,,"3",
"8428963",1965,,,,,"Good","Good",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,13.00,,,"3",
"8428970",1965,,,,"Good","Good","Excellent",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,8.00,,,"3",
"8428975",1965,,,,,"Good","Good",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,3.00,,,"3",
"8529415",1965,,,,,"Good","Good",0,,"BWBSwk 1 /06",,"BWBSwk 1 /06","Sw - Currant - Horsetail",,0.00,,,"3",
"8529649",1965,,,,,"Good","Excellent",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,0.00,,,"3",
"8529670",1965,,,,,"Good","Excellent",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,0.00,,,"3",
"8529675",1965,"FS882",,,,"Good","Excellent",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,0.00,,,"4.1",
"8529676",1965,"FS882",,,,"Good","Excellent",0,,"BWBSwk 2 /06",,"BWBSwk 2 /06","Sw - Currant - Horsetail",,0.00,,,"4.1",
"8630146",1965,"FS882",,,,"Good","Excellent",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,20.00,,,"4.1",
"9003002",1965,"FS882",,,,"Good",,0,,"SBS mk   /Fh1",,,,,,,,"4.1",
"9003043",1965,"FS882",,,,"Good",,0,,"SBS mk   /Fh1",,,,,,,,"4.1",
"9003104",1965,"FS882",,,,"Good",,0,,"SBS mk   /Fh1",,,,,15.00,,,"4.1",
"961167",1965,"FS882",,,,"Good","Good",0,,"SBS mk   /Fh1",,,,,2.50,,,"4.1",
"9611965",1965,,,,,"Good","Fair",0,,"SBS dk   /Fh1",,"SBS dk   /Fh1","This is an old unit no longer in use",,20.00,,,"4.1",
"9611967",1965,,,,,"Good","Fair",0,,"SBS dk   /Fh1",,"SBS dk   /Fh1","This is an old unit no longer in use",,20.00,,,"4.1",
"9624781",1965,,,,,"Good","Fair",0,,"SBS dk   /Fh1",,"SBS dk   /Fh1","This is an old unit no longer in use",,41.00,,,"4.1",
"9624804",1965,,,,,"Good","Fair",0,,"SBS mk   /Fh1",,,,,11.00,,,"5",
"Cb13011",1965,,,,,"Good",,0,,"SBS mk   /Fh1",,,,,,,,"5",
"HLB056",1965,,,,,"Good","Excellent",0,,"MH  whp  /02",,,,,,,,"5",
"L153",2000,,,,,"Good","Excellent",0,,"BWBSdk 2 /06",,"BWBSdk 2 /06","Sw - Currant - Horsetail",,,,,"5",
"L185",2000,,,,,"Good","Excellent",0,,"BWBSdk 2 /06",,"BWBSdk 2 /06","Sw - Currant - Horsetail",,,,,"5",
"MAHA05",2012,,,,,"Good","Excellent",0,,"MH  whp  /02",,,,,,,,"5",
"00337",2019,,,,,,,0,,"BG  xh 1 /03",,,,,5.00,,,"1",
"108050",,"FS882",10.00,"BC","Excellent","Excellent","Excellent",0,,"MH  whp  /01","MH  whp  /01",,,"This plot record on share point site.",11.00,,,"1",
"108050x",1965,,,"BC","Excellent","Excellent","Excellent",0,,"MH  whp  /01","MH  whp  /01",,,"This plot record on share point site.",10.00,,,"1",
"1976021",1965,,,,"Excellent","Excellent","Excellent",0,,"BWBSmw 2 /05-Acho",,"BWBSmw 2 /05-Acho","$Ac - Horsetail",,,,,"1",
"1976022",1965,,,,"Good","Excellent","Good",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,,,,"1",
"1976025",2012,,,,"Good","Excellent","Good",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,,,,"1",
"1976039",1965,,,,"Good","Excellent","Good",0,,"BWBSmw 2 /05",,"BWBSmw 2 /05","Sw - Currant - Horsetail",,,,,"1",
