"PlotNumber","Species","Layer","Cover1","Height1","Cover2","Height2","Cover3","Height3","TotalA","HeightA","Cover4","Height4","Cover5","Height5","Cover5a","Height5a","Cover5b","Height5b","Cover5c","Height5c","TotalB","HeightB","Cover6","Height6","Cover7","Cover8","Cover9","Cover10","Collected","Flag","ID","LL","AF","DC","UT","VI","PV","PG","FFA","Cultural1","Cultural2","Other1","Other2"
"108050","CHAMANG",,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,0,1699683587,,,,,,,,,,,,
"108050","CLADRAN",,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,"C",0,1421396872,,,,,,,,,,,,
"108050","COPTASP",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,626521833,,,,,,,,,,,,
"108050","CORNCAN",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,-2054439690,,,,,,,,,,,,
"108050","DICRFUS",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,-187352257,,,,,,,,,,,,
"108050","DICRSCO",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,1903559700,,,,,,,,,,,,
"108050","DREPADU",,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,0,-1704415355,,,,,,,,,,,,
"108050","ERIOANG",,,,,,,,,,,,,,,,,,,,,,99.00,,,,,,,0,978868322,,,,,,,,,,,,
"108050","HARRSTE",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,1332712763,,,,,,,,,,,,
"108050","LIGUSTI",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,-1636811424,,,,,,,,,,,,
"108050","LUETPEC",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,685705697,,,,,,,,,,,,
"108050","LYSIAME",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,1700061838,,,,,,,,,,,,
"108050","MNIUM",,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,0,1895261943,,,,,,,,,,,,
"108050","NEOTCOR",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,1287586668,,,,,,,,,,,,
"108050","NEPHCRI",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,-643390979,,,,,,,,,,,,
"108050","PHYLEMP",,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,0,1175701370,,,,,,,,,,,,
"108050","PINUCON",,5.00,,,,,,,,5.00,,,,,,,,,,,,,,1.00,,,,,0,322022515,,,,,,,,,,,,
"108050","PLEUSCH",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,510304824,,,,,,,,,,,,
"108050","RACOCAN",,,,,,,,,,,,,,,,,,,,,,,,,20.00,10.00,,,0,-1669540903,,,,,,,,,,,,
"108050","RkEpilit",,,,,,,,,,,,,,,,,,,,,,,,,99.00,,,,0,562443046,,,,,,,,,,,,
"108050","RkEpiphy",,,,,,,,,,,,,,,,,,,,,,,,,,99.00,,,0,34283951,,,,,,,,,,,,
"108050","RUBUPED",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,-1661459004,,,,,,,,,,,,
"108050","SORBUS",,8.00,,,,,,,,,,2.00,,,,,,,,2.00,,,,,,,,,0,646757237,,,,,,,,,,,,
"108050","STRUSPI",,,,,,,,,,,,,,,,,,,,,,20.00,10.00,,,,,,0,-1956114030,,,4,,,,,,,,,
"108050","THUJPLI",,10.00,,,,,,,,,,,,,,,,1.00,,,,,,7.00,,,,,0,194265771,,,,,,,,,,,,
"108050","TSUGMER",,,,35.00,,,,35.00,,,,,,,,,,,,,,,,,,,,,0,-793421296,,,,,,,,,,,,
"108050","VACCALA",,3.00,,4.00,,,,,,15.00,,,,10.00,,,,5.00,,15.00,,,,,,,,,0,-758434607,,,,,,,,,,,,
"108050","VACCPAR",,,,,,,,,,,,15.00,,,,,,,,15.00,,,,,,,,,0,2121010878,,,,,,,,,,,,
"108050","VERAVIR",,,,,,,,,,,,,,,,,,,,,,50.00,,,,,,,0,-943895705,,,,,,,,,,,,
"108050","XANTNOO",,,,5.00,,,,5.00,,,,,,,,,,,,,,,,,,,,"V",0,1153747740,,,,,,,,,,,,
"108050x","ABIEAMA",,,,5.00,,,,5.00,,,,,,1.00,,2.00,,3.00,,5.00,,,,,,,,"C",0,538106861,3,,4,4,1,10,13,2,,,,
"108050x","ABIEBAL",,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,"C",0,-1356360022,,,,,,,,,,,,
"108050x","ABIECON",,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,0,869414883,,,,,,,,,,,,
"108050x","ABIEGRA",,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1008089880,,,,,,,,,,,,
"108050x","ABIELAS",,10.00,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,0,687869129,,,,,,,,,,,,
"108050x","ALNUALN1",,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1170134358,,,,,,,,,,,,
"108050x","ALNUALN2",,99.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-575224801,,,,,,,,,,,,
"108050x","BUCKUND",,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,0,-636202124,,,,,,,,,,,,
"108050x","CALAPUR",,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,0,831316837,,,,,,,,,,,,
"108050x","CALTLEP",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,-363809086,,,,,,,,,,,,
"108050x","CASSMER",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,451046427,,,,,,,,,,,,
"108050x","CHAMANG",,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,0,-424852800,,,,,,,,,,,,
"108050x","CLADRAN",,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,0,644692929,,,,,,,,,,,,
"108050x","COPTASP",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-803019026,,,,,,,,,,,,
"108050x","CORNCAN",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,-2028180521,,,,,,,,,,,,
"108050x","DICRFUS",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,1268915916,,,,,,,,,,,,
"108050x","DICRSCO",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,-1440042531,,,,,,,,,,,,
"108050x","DREPADU",,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,0,730714586,,,,,,,,,,,,
"108050x","ERIOANG",,,,,,,,,,,,,,,,,,,,,,99.00,,,,,,,0,-956842157,,,,,,,,,,,,
"108050x","HARRSTE",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,87110552,,,,,,,,,,,,
"108050x","LIGUSTI",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,201367993,,,,,,,,,,,,
"108050x","LUETPEC",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,1051239302,,,,,,,,,,,,
"108050x","LYSIAME",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,1242505871,,,,,,,,,,,,
"108050x","MNIUM",,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,0,-1233810140,,,,,,,,,,,,
"108050x","NEOTCOR",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,1148725077,,,,,,,,,,,,
"108050x","NEPHCRI",,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,0,-390772750,,,,,,,,,,,,
"108050x","PHYLEMP",,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,0,-1996418677,,,,,,,,,,,,
"108050x","PLEUSCH",,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,0,-156043408,,,,,,,,,,,,
"108050x","RUBUPED",,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,0,-742121807,,,,,,,,,,,,
"108050x","SORBUS",,8.00,,,,,,,,,,2.00,,,,,,,,2.00,,,,,,,,,0,1682729758,,,,,,,,,,,,
"108050x","STRUSPI",,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,0,-81016761,,,4,,,,,,,,,
"108050x","THUJPLI",,,,10.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,0,1801584252,,,,,,,,,,,,
"108050x","TSUGMER",,,,35.00,,,,35.00,,,,,,,,,,,,,,,,,,,,,0,501031885,,,,,,,,,,,,
"108050x","VACCALA",,3.00,,,,,,,,15.00,,,,,,,,,,15.00,,,,,,,,,0,-1605797622,,,,,,,,,,,,
"108050x","VACCOVL",,,,,,,,,,,,15.00,,,,,,,,15.00,,,,,,,,,0,-1071037757,,,,,,,,,,,,
"108050x","VERAVIR",,,,,,,,,,,,,,,,,,,,,,50.00,,,,,,,0,-84152760,,,,,,,,,,,,
"108050x","XANTNOO",,,,5.00,,,,5.00,,,,,,,,,,,,,,,,,,,,"V",0,-1604480343,,,,,,,,,,,,
"1976021","ABIELAS",,,,,,2.00,,3.00,,1.00,,0.50,,,,,,,,2.00,,,,,,,,,0,1601609142,,,,,,,,,,,,
"1976021","ACONDEL",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-1190445825,,,,,,,,,,,,
"1976021","ALNUINC",,,,,,,,,,8.00,,2.00,,,,,,,,10.00,,,,,,,,,0,612815572,,,,,,,,,,,,
"1976021","BETUPAP",,,,1.00,,4.00,,5.00,,,,,,0.20,,,,,,0.20,,,,,,,,"C",0,505251653,,,,,,,,,,,,
"1976021","CALACAN",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,184075554,,,,,,,,,,,,
"1976021","CHAMANG",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-1923665157,,,,,,,,,,,,
"1976021","CORNCAN",,,,,,,,,,,,,,,,,,,,,,18.00,,,,,,,0,1205958688,,,,,,,,,,,,
"1976021","EQUIARV",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-1668358751,,,,,,,,,,,,
"1976021","EQUIPRA",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-478438578,,,,,,,,,,,,
"1976021","EQUISCI",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-675127113,,,,,,,,,,,,
"1976021","GOODREP",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,1791978028,,,,,,,,,,,,
"1976021","HYLOSPL",,,,,,,,,,,,,,,,,,,,,,,,63.00,,,,,0,-824626755,,,,,,,,,,,,
"1976021","LINNBOR",,,,,,,,,,,,,,,,,,,,,,42.00,,,,,,,0,-48395206,,,,,,,,,,,,
"1976021","MERTPAN",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,1991098931,,,,,,,,,,,,
"1976021","MITENUD",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-960170760,,,,,,,,,,,,
"1976021","ORTHSEC",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,1253433241,,,,,,,,,,,,
"1976021","PICEGLA",,,,17.00,,8.00,,25.00,,0.50,,,,,,,,,,1.00,,,,,,,,,0,840680422,,,,,,,,,,,,
"1976021","PLATOBT",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-1134423185,,,,,,,,,,,,
"1976021","POPUBAL",,,,0.50,,,,0.50,,0.50,,0.50,,,,,,,,1.00,,,,,,,,,0,728966276,,,,,,,,,,,,
"1976021","POPUTRE",,,,0.50,,,,0.50,,0.50,,,,,,,,,,0.50,,,,,,,,,0,-1559493835,,,,,,,,,,,,
"1976021","PYROASA",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-130142638,,,,,,,,,,,,
"1976021","PYROCHL",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,-83111829,,,,,,,,,,,,
"1976021","RIBELAC",,,,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,,0,34850000,,,,,,,,,,,,
"1976021","RIBETRI",,,,,,,,,,,,4.00,,,,,,,,4.00,,,,,,,,,0,1145862289,,,,,,,,,,,,
"1976021","ROSAACI",,,,,,,,,,,,,,8.00,,,,,,8.00,,,,,,,,,0,-989628546,,,,,,,,,,,,
"1976021","RUBUPUB",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-1468582617,,,,,,,,,,,,
"1976021","SALIBEB",,,,,,,,,,0.50,,,,,,,,,,0.50,,,,,,,,,0,2104844764,,,,,,,,,,,,
"1976021","SHEPCAN",,,,,,,,,,,,2.00,,,,,,,,2.00,,,,,,,,,0,-1366434899,,,,,,,,,,,,
"1976021","VACCVIT",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,1821182826,,,,,,,,,,,,
"1976021","VIBUEDU",,,,,,,,,,8.00,,,,,,,,,,8.00,,,,,,,,,0,361512355,,,,,,,,,,,,
"1976022","ABIELAS",,,,,,1.00,,1.00,,0.50,,1.00,,,,,,,,1.00,,,,,,,,,0,1120356264,,,,,,,,,,,,
"1976022","ALNUINC",,,,,,,,,,18.00,,,,,,,,,,20.00,,,,,,,,,0,1768458377,,,,,,,,,,,,
"1976022","BLEPTRI",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-1488251370,,,,,,,,,,,,
"1976022","CALACAN",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,1972020703,,,,,,,,,,,,
"1976022","CAMPHIP",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-1759149516,,,,,,,,,,,,
"1976022","CLADFIM",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-846030043,,,,,,,,,,,,
"1976022","CORNCAN",,,,,,,,,,,,,,,,,,,,,,18.00,,,,,,,0,-1435991166,,,,,,,,,,,,
"1976022","DISTCAP",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-1325012517,,,,,,,,,,,,
"1976022","DITRHET",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-572203648,,,,,,,,,,,,
"1976022","EQUIPRA",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,-2143555711,,,,,,,,,,,,
"1976022","EQUISCI",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,2130116526,,,,,,,,,,,,
"1976022","EURHPUL",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,1084310935,,,,,,,,,,,,
"1976022","GOODREP",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,-207690356,,,,,,,,,,,,
"1976022","HYLOSPL",,,,,,,,,,,,,,,,,,,,,,,,63.00,,,,,0,1009394077,,,,,,,,,,,,
"1976022","LEPIREP",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-2082802022,,,,,,,,,,,,
"1976022","LINNBOR",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,193705235,,,,,,,,,,,,
"1976022","MERTPAN",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-1308760488,,,,,,,,,,,,
"1976022","MITENUD",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,1150586233,,,,,,,,,,,,
"1976022","MNIUMAR",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,1182241862,,,,,,,,,,,,
"1976022","ORTHSEC",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,96203855,,,,,,,,,,,,
"1976022","PICEGLA",,,,18.00,,8.00,,26.00,,0.50,,,,,,,,,,0.50,,,,,,,,,0,-1471616028,,,,,,,,,,,,
"1976022","PLAGROS",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-1648341227,,,,,,,,,,,,
"1976022","PLATJUN",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-1642412878,,,,,,,,,,,,
"1976022","POHLNUT",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,166494027,,,,,,,,,,,,
"1976022","PTILCRI",,,,,,,,,,,,,,,,,,,,,,,,18.00,,,,,0,-726678992,,,,,,,,,,,,
"1976022","PYROASA",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-413384079,,,,,,,,,,,,
"1976022","PYROCHL",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-1238813730,,,,,,,,,,,,
"1976022","RIBEOXY",,,,,,,,,,0.50,,,,,,,,,,0.50,,,,,,,,,0,727159303,,,,,,,,,,,,
"1976022","RIBETRI",,,,,,,,,,,,0.50,,,,,,,,0.50,,,,,,,,,0,-363399876,,,,,,,,,,,,
"1976022","ROSAACI",,,,,,,,,,18.00,,,,,,,,,,18.00,,,,,,,,,0,1956447117,,,,,,,,,,,,
"1976022","RUBUPUB",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,1930055114,,,,,,,,,,,,
"1976022","SALIBEB",,,,,,,,,,0.50,,,,,,,,,,1.00,,,,,,,,,0,2066950275,,,,,,,,,,,,
"1976022","SALIPSE",,,,,,,,,,0.50,,,,,,,,,,0.50,,,,,,,,,0,1881395464,,,,,,,,,,,,
"1976022","VACCVIT",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-31920535,,,,,,,,,,,,
"1976022","VIBUEDU",,,,,,,,,,0.50,,,,,,,,,,0.50,,,,,,,,,0,1574190710,,,,,,,,,,,,
"1976025","ACONDEL",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,-34799937,,,,,,,,,,,,
"1976025","ALNUINC",,,,,,,,,,4.00,,0.70,,,,,,,,4.70,,,,,,,,,0,-1001889388,,,,,,,,,,,,
"1976025","CALACAN",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,157556485,,,,,,,,,,,,
"1976025","CAMPCHY",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,45609442,,,,,,,,,,,,
"1976025","CAMPHIP",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,1277595835,,,,,,,,,,,,
"1976025","CHAMANG",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,-795905312,,,,,,,,,,,,
"1976025","CORNCAN",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-496209567,,,,,,,,,,,,
"1976025","DELPGLA",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,1848448014,,,,,,,,,,,,
"1976025","EQUIPRA",,,,,,,,,,,,,,,,,,,,,,29.00,,,,,,,0,460397175,,,,,,,,,,,,
"1976025","EQUISCI",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,-77033236,,,,,,,,,,,,
"1976025","GOODREP",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,-1030389379,,,,,,,,,,,,
"1976025","HYLOSPL",,,,,,,,,,,,,,,,,,,,,,,,42.00,,,,,0,886968570,,,,,,,,,,,,
"1976025","LINNBOR",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-1429628941,,,,,,,,,,,,
"1976025","LYCOANN",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-1582037064,,,,,,,,,,,,
"1976025","MERTPAN",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-2120963239,,,,,,,,,,,,
"1976025","MITENUD",,,,,,,,,,,,,,,,,,,,,,18.00,,,,,,,0,844371110,,,,,,,,,,,,
"1976025","MNIUSPN",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-824916689,,,,,,,,,,,,
"1976025","ORTHSEC",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,625926980,,,,,,,,,,,,
"1976025","PETAFRI3",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,-334689547,,,,,,,,,,,,
"1976025","PICEGLA",,,,41.00,,18.00,,60.00,,0.50,,,,,,,,,,0.50,,,,,,,,,0,-362607854,,,,,,,,,,,,
"1976025","PLAGCIL",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,433790507,,,,,,,,,,,,
"1976025","POHLNUT",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,1549725584,,,,,,,,,,,,
"1976025","POLEACU",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-1679066031,,,,,,,,,,,,
"1976025","PTILCRI",,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,0,961912894,,,,,,,,,,,,
"1976025","PYROASA",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,1535434471,,,,,,,,,,,,
"1976025","RIBELAC",,,,,,,,,,0.50,,,,,,,,,,0.50,,,,,,,,,0,-312559460,,,,,,,,,,,,
"1976025","RIBETRI",,,,,,,,,,2.00,,2.00,,,,,,,,4.00,,,,,,,,,0,-293430419,,,,,,,,,,,,
"1976025","ROSAACI",,,,,,,,,,6.00,,2.00,,,,,,,,8.00,,,,,,,,,0,-1093058518,,,,,,,,,,,,
"1976025","RUBUPUB",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,1951794019,,,,,,,,,,,,
"1976025","SALIBEB",,,,,,,,,,0.20,,,,,,,,,,0.20,,,,,,,,,0,-471233944,,,,,,,,,,,,
"1976025","VACCVIT",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,1952891977,,,,,,,,,,,,
"1976025","VIBUEDU",,,,,,,,,,,,18.00,,,,,,,,18.00,,,,,,,,,0,799676118,,,,,,,,,,,,
"1976025","VIOLREN",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,954877855,,,,,,,,,,,,
"1976039","ACTARUB",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-1975029516,,,,,,,,,,,,
"1976039","BETUPAP",,,,,,8.00,,8.00,,1.00,,1.00,,,,,,,,2.00,,,,,,,,,0,-150334747,,,,,,,,,,,,
"1976039","CALACAN",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,2046758978,,,,,,,,,,,,
"1976039","CARECOI",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,-521066597,,,,,,,,,,,,
"1976039","CORNCAN",,,,,,,,,,,,,,,,,,,,,,18.00,,,,,,,0,1404647488,,,,,,,,,,,,
"1976039","CORNSER",,,,,,,,,,,,8.00,,,,,,,,8.00,,,,,,,,,0,-266837183,,,,,,,,,,,,
"1976039","EQUISCI",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,1756747886,,,,,,,,,,,,
"1976039","FRAGVIR",,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,0,1038737239,,,,,,,,,,,,
"1976039","GALIBOR",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,1669622860,,,,,,,,,,,,
"1976039","GALITRF",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,244535645,,,,,,,,,,,,
"1976039","GOODREP",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,826202970,,,,,,,,,,,,
"1976039","HYLOSPL",,,,,,,,,,,,,,,,,,,,,,,,18.00,,,,,0,-1247843629,,,,,,,,,,,,
"1976039","LINNBOR",,,,,,,,,,,,,,,,,,,,,,29.00,,,,,,,0,-54568680,,,,,,,,,,,,
"1976039","MAIACAN",,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,0,632174905,,,,,,,,,,,,
"1976039","MAIATRI",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,407454982,,,,,,,,,,,,
"1976039","MERTPAN",,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,0,-1134262769,,,,,,,,,,,,
"1976039","MITENUD",,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,0,-421721436,,,,,,,,,,,,
"1976039","NEPHHEL",,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,0,-1586874667,,,,,,,,,,,,
"1976039","ORTHSEC",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,422510962,,,,,,,,,,,,
"1976039","PELTAPH",,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,0,1259318539,,,,,,,,,,,,
"1976039","PELTCAN",,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,0,-1829155600,,,,,,,,,,,,
"1976039","PICEGLA",,,,18.00,,18.00,,36.00,,,,,,,,,,,,,,,,,,,,,0,1559373361,,,,,,,,,,,,
"1976039","PLEUSCH",,,,,,,,,,,,,,,,,,,,,,,,18.00,,,,,0,1008778398,,,,,,,,,,,,
"1976039","POPUTRE",,,,8.00,,,,8.00,,,,,,,,,,,,,,,,,,,,,0,-1934156857,,,,,,,,,,,,
"1976039","PTILCRI",,,,,,,,,,,,,,,,,,,,,,,,18.00,,,,,0,-1914393604,,,,,,,,,,,,
"1976039","PYROASA",,,,,,,,,,,,,,,,,,,,,,18.00,,,,,,,0,1991680845,,,,,,,,,,,,
"1976039","PYROCHL",,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,0,118612618,,,,,,,,,,,,
